"state","voted","calculated_age","Voters_Gender","Parties_Description","EthnicGroups_EthnicGroup1Desc","Ethnic_Description","Residence_HHParties_Description","CommercialData_EstimatedIncomeAmount","CommercialData_PropertyType","CommercialData_EstHomeValue","nonpartisan_donation","row_index"
"ga",0,55,0,"Republican","Likely African-American","African or Af-Am Self Reported","Republican",177000,"Residential",232852,0,284574
"wy",1,64,0,"Democratic","Other","Serbian","Democratic & Republican",68000,"Residential",123219,0,379050
"nj",1,18,0,"Non-Partisan","","","Democratic & Independent",24000,"Residential",326825,0,5472
"in",1,45,1,"Non-Partisan","European","English/Welsh","Democratic & Independent",36963,"Unknown",64904,0,51969
"il",1,83,1,"Democratic","European","French","Democratic",25000,"Residential",125845,1,348187
"ca",1,43,0,"Non-Partisan","European","Irish","Democratic & Independent",169396,"Apartment",989034,0,213468
"wi",1,76,1,"Democratic","","","Democratic",32000,"Residential",132582,1,333247
"ct",1,47,0,"Republican","European","Scots","Republican & Independent",145000,"Residential",396650,0,231254
"al",1,30,0,"Republican","European","German","Republican",65069,"Residential",253884,0,41094
"sc",0,27,1,"Republican","European","English/Welsh","Republican",118000,"Residential",253309,0,277653
"in",0,77,1,"Republican","European","German","Democratic & Republican",NA,"Apartment",137500,1,167971
"oh",1,52,1,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",8000,"Residential",45515,1,165804
"al",1,23,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",96000,"Residential",104860,0,300529
"nc",1,71,0,"Non-Partisan","European","English/Welsh","Republican & Independent",49078,"Unknown",126590,0,23836
"fl",1,72,0,"Democratic","European","English/Welsh","Democratic",117000,"Residential",363580,0,288788
"or",1,72,1,"Non-Partisan","European","English/Welsh","Independent",75475,"Unknown",332142,0,106904
"ca",1,64,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Independent",33000,"Residential",410378,0,394149
"fl",1,53,0,"Democratic","European","English/Welsh","Democratic & Republican",145000,"Apartment",557355,0,157844
"mt",1,43,1,"Democratic","","","Democratic",88000,"Residential",315656,0,64765
"ca",1,34,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Independent",124000,"Residential",603989,0,400095
"il",1,25,1,"Non-Partisan","","","Independent",77000,"Triplex",216666,0,181966
"ma",1,34,1,"Democratic","European","English/Welsh","Democratic",204000,"Duplex",540206,0,113755
"mi",0,52,1,"Democratic","European","English/Welsh","Democratic & Republican",17000,"Residential",397255,1,324035
"nj",1,35,1,"Non-Partisan","Hispanic and Portuguese","Hispanic","Democratic & Independent",48000,"Triplex",279718,0,118172
"ks",1,70,1,"Republican","","","Republican",95191,"Residential",226441,0,352934
"ga",1,28,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",88749,"Apartment",247499,0,148791
"az",1,85,0,"Republican","","","Republican",109820,"Unknown",340366,0,91735
"nc",0,29,1,"Republican","European","English/Welsh","Republican",70226,"Residential",162856,0,21944
"ga",0,34,0,"Non-Partisan","European","English/Welsh","Independent",90287,"Apartment",197221,0,147898
"wi",1,55,0,"Non-Partisan","","","Independent",51666,"Unknown",119885,0,60872
"ca",0,27,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic & Independent",69582,"Residential",422987,0,102777
"mi",1,37,1,"Democratic","European","English/Welsh","Democratic",59499,"Residential",73268,0,329324
"mt",1,72,1,"Non-Partisan","European","Polish","Independent",14000,"Residential",237500,1,340694
"tx",1,66,1,"Non-Partisan","European","Scots","Independent",118000,"Residential",281172,0,366048
"nv",1,27,0,"Republican","European","French","Republican",NA,"Unknown",NA,0,94871
"nj",1,35,1,"Non-Partisan","European","Italian","Democratic & Independent",189000,"Residential",417045,0,237583
"wi",1,68,1,"Republican","","","Republican",70000,"Residential",267273,1,334439
"pa",1,36,1,"Republican","European","German","Republican",77654,"Apartment",173354,0,133795
"sc",1,53,0,"Democratic","European","English/Welsh","Democratic",102000,"Residential",218885,0,275281
"oh",1,64,1,"Non-Partisan","","","Independent",94820,"Unknown",166785,0,49641
"co",1,61,1,"Democratic","European","Scots","Democratic & Independent",122000,"Residential",514760,0,376842
"mi",1,56,0,"Non-Partisan","European","French","Independent",93749,"Unknown",253085,1,55593
"md",0,NA,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",85517,"Apartment",235037,0,139749
"va",1,56,1,"Republican","European","English/Welsh","Republican",67441,"Apartment",271874,0,141071
"al",1,71,0,"Republican","European","English/Welsh","Republican",32000,"Apartment",17481,0,159114
"nv",1,36,1,"Republican","","","Republican",250000,"Residential",437001,0,387392
"tn",0,50,0,"Non-Partisan","Likely African-American","Likely Af-Am (Modeled)","Independent",87000,"Duplex",140322,0,160338
"ca",1,65,1,"Republican","Hispanic and Portuguese","Hispanic","Republican",145510,"Residential",625000,0,400027
"al",1,43,1,"Republican","","","Republican",81000,"Apartment",87500,1,159491
"mo",1,35,1,"Republican","European","English/Welsh","Republican",114000,"Residential",237024,0,349212
"tx",0,49,0,"Non-Partisan","European","English/Welsh","Independent",NA,"Apartment",NA,0,194352
"nv",1,31,1,"Republican","Hispanic and Portuguese","Hispanic","Republican",67406,"Apartment",227380,0,201643
"ca",1,52,1,"Republican","East and South Asian","Korean","Democratic & Republican",250000,"Residential",2399686,0,400812
"in",1,77,1,"Democratic","European","English/Welsh","Democratic",95000,"Residential",276791,1,321117
"ia",1,73,0,"Republican","European","French","Republican",18000,"Residential",116386,1,329816
"nc",0,33,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic & Independent",58000,"Residential",228431,0,25743
"ny",0,76,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",27666,"Apartment",76249,0,123320
"ma",1,71,0,"Democratic","European","Italian","Democratic",152000,"Residential",482164,0,226647
"ky",1,62,1,"Democratic","European","English/Welsh","Democratic",73000,"Residential",117228,1,308799
"tx",0,18,1,"Democratic","European","English/Welsh","Democratic",250000,"Residential",422970,0,77988
"tx",1,20,1,"Republican","European","Scots","Democratic & Republican",134000,"Residential",106480,0,79351
"tx",1,44,1,"Democratic","","","Democratic",14000,"Residential",134183,0,375076
"nj",0,79,1,"Non-Partisan","European","Hungarian","Democratic & Independent",189000,"Residential",526546,0,4607
"ca",1,20,0,"Non-Partisan","European","English/Welsh","Democratic & Independent",120000,"Residential",655734,0,396251
"ia",0,27,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",41110,"Residential",62500,0,58798
"ms",1,57,1,"Republican","European","English/Welsh","Republican",250000,"Residential",210183,1,304922
"in",1,62,1,"Democratic","European","English/Welsh","Democratic",37000,"Residential",132149,1,321165
"fl",1,59,0,"Republican","European","Italian","Republican",161110,"Apartment",336904,0,155641
"wi",1,NA,1,"Non-Partisan","European","German","Independent",110488,"Apartment",341775,0,173289
"wi",1,NA,0,"Non-Partisan","European","Scots","Democratic & Republican & Independent",114000,"Apartment",253732,0,173387
"fl",1,80,1,"Non-Partisan","European","Dutch (Netherlands)","Independent",14000,"Residential",184013,1,294506
"pa",0,44,0,"Democratic","","","Democratic & Republican",65421,"Residential",149721,0,13053
"nv",1,36,0,"Non-Partisan","Other","Arab","Independent",59332,"Unknown",157954,0,94715
"mi",0,46,1,"Republican","European","Scots","Republican",NA,"Unknown",NA,0,55613
"pa",1,69,1,"Republican","Hispanic and Portuguese","Hispanic","Republican",6000,"Residential",188888,1,134389
"hi",1,NA,1,"Democratic","Other","Armenian","Democratic",250000,"Duplex",1167416,0,217721
"ca",1,30,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",77000,"Residential",438909,0,387677
"nc",1,81,1,"Republican","European","English/Welsh","Republican",32000,"Residential",188689,0,25823
"ca",1,60,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic & Republican",79817,"Apartment",625000,0,210627
"ny",1,77,0,"Republican","European","English/Welsh","Republican & Independent",100000,"Residential",214672,0,9844
"fl",1,38,0,"Democratic","Other","Arab","Democratic",91070,"Residential",293100,0,292571
"in",1,43,1,"Non-Partisan","European","German","Independent",50000,"Residential",71726,0,53250
"tx",1,54,1,"Republican","European","English/Welsh","Republican",59000,"Residential",234883,0,78767
"mi",1,31,1,"Republican","European","Irish","Republican",250000,"Residential",656430,0,328048
"tx",1,66,1,"Republican","European","Irish","Republican",250000,"Residential",600412,1,374685
"ks",1,74,1,"Republican","European","English/Welsh","Republican",54864,"Residential",112500,1,352799
"nc",1,55,1,"Democratic","European","Irish","Democratic",89075,"Unknown",208765,0,24394
"fl",0,56,1,"Republican","Hispanic and Portuguese","Hispanic","Republican",185000,"Residential",484272,0,286687
"tx",0,27,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",31320,"Apartment",83499,0,195751
"fl",1,38,1,"Non-Partisan","European","French","Democratic & Republican & Independent",97000,"Residential",216386,0,288872
"al",0,89,0,"Republican","European","Scots","Republican",34000,"Residential",149692,0,299454
"ak",0,78,0,"Republican","European","English/Welsh","Republican",6000,"Residential",162500,1,413365
"mo",1,75,0,"Republican","European","Irish","Republican",73721,"Residential",344755,0,352668
"ct",1,59,0,"Republican","European","Irish","Republican & Independent",250000,"Residential",604910,0,4404
"or",1,48,1,"Democratic","European","English/Welsh","Democratic",171000,"Apartment",1152181,0,218509
"mi",1,24,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",82724,"Apartment",190373,0,171591
"in",0,41,0,"Non-Partisan","European","English/Welsh","Independent",70776,"Unknown",127792,0,53246
"mo",0,57,1,"Democratic","European","German","Democratic",28000,"Residential",198769,0,69164
"oh",1,37,0,"Libertarian","European","English/Welsh","Independent",108000,"Residential",234613,0,311006
"fl",1,29,1,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",30654,"Apartment",159090,0,153637
"or",1,41,0,"Democratic","European","German","Democratic & Independent",102000,"Residential",367925,0,408383
"wa",1,67,1,"Democratic","European","English/Welsh","Democratic",7000,"Apartment",395121,0,220368
"ca",0,40,1,"Republican","Hispanic and Portuguese","Hispanic","Democratic & Republican",120000,"Residential",488879,0,398136
"sc",1,72,1,"Republican","European","German","Republican",46000,"Residential",264720,0,278091
"oh",1,60,1,"Democratic","European","English/Welsh","Democratic & Republican",56041,"Residential",187500,0,310638
"ca",1,48,0,"Non-Partisan","Other","Armenian","Independent",250000,"Residential",2435626,0,390553
"fl",1,62,0,"Republican","","","Republican",59443,"Unknown",171370,0,38433
"mo",1,30,1,"Republican","European","English/Welsh","Republican",62000,"Residential",145542,0,351985
"sc",0,25,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",53000,"Residential",466924,0,25893
"pa",0,60,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",33888,"Apartment",62500,0,133377
"mn",1,63,0,"Republican","European","Swedish","Republican",78000,"Residential",292188,0,338843
"in",1,50,0,"Democratic","European","English/Welsh","Democratic",55000,"Residential",118226,1,319977
"ca",1,57,0,"Non-Partisan","European","English/Welsh","Democratic & Independent",197000,"Residential",593870,0,100473
"ny",1,55,0,"Non-Partisan","","","Democratic & Independent",237000,"Residential",671571,0,241408
"ky",1,69,1,"Republican","European","English/Welsh","Republican",32000,"Residential",98444,1,307338
"va",0,33,0,"Non-Partisan","European","Austrian","Independent",156175,"Apartment",408903,0,140464
"nj",1,50,0,"Democratic","Other","Ukrainian","Democratic",40000,"Residential",389177,0,238895
"ct",1,56,1,"Non-Partisan","","","Independent",112000,"Residential",279295,0,231502
"co",1,21,0,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",135000,"Residential",333471,0,375533
"nv",1,72,0,"Republican","European","English/Welsh","Republican",NA,"Apartment",NA,0,201830
"az",1,50,0,"Non-Partisan","European","Scots","Democratic & Independent",136000,"Residential",168877,0,383806
"ar",1,49,0,"Republican","European","English/Welsh","Republican",111183,"Duplex",187227,0,75461
"nc",1,45,0,"Republican","European","Polish","Democratic & Republican",145000,"Residential",366392,0,269196
"az",1,20,0,"Republican","European","English/Welsh","Republican",41874,"Apartment",211666,0,199387
"wi",1,60,1,"Non-Partisan","European","Scots","Independent",148749,"Apartment",625000,0,173846
"tx",1,65,0,"Republican","European","Scots","Republican",87000,"Residential",144984,0,368798
"ky",1,77,1,"Democratic","European","English/Welsh","Democratic",16000,"Residential",306764,0,46463
"ca",1,53,1,"Democratic","","","Democratic",112000,"Apartment",413952,0,210965
"pa",1,33,1,"Republican","European","German","Republican",52940,"Unknown",125361,1,13185
"wi",0,68,1,"Non-Partisan","European","German","Independent",57030,"Apartment",160525,0,175603
"ar",0,74,1,"Non-Partisan","European","English/Welsh","Independent",73513,"Residential",62500,1,356973
"ny",0,52,0,"Non-Partisan","East and South Asian","Indian/Hindu","Independent",149000,"Residential",946076,0,8813
"wa",1,66,0,"Democratic","European","Scots","Democratic",64419,"Residential",137500,0,411404
"tx",1,34,1,"Democratic","Hispanic and Portuguese","Hispanic","Democratic",26000,"Residential",184347,0,371293
"ca",1,57,1,"Republican","European","English/Welsh","Republican",147000,"Residential",580696,1,397062
"al",1,72,0,"Democratic","Likely African-American","African or Af-Am Self Reported","Democratic",49582,"Apartment",87500,0,159181
"ca",1,28,0,"Democratic","European","English/Welsh","Democratic",162680,"Apartment",1153845,0,213573
"fl",0,62,1,"Republican","European","Swedish","Democratic & Republican",35000,"Residential",152538,0,33372
"pa",1,24,1,"Democratic","European","German","Democratic & Republican & Independent",172000,"Residential",520061,0,253516
"wa",1,51,1,"Republican","European","Scots","Republican",157268,"Apartment",12500,1,220387
"tx",1,47,0,"Republican","Hispanic and Portuguese","Hispanic","Democratic & Republican",72000,"Residential",223387,0,362995
"ny",1,83,1,"Democratic","","","Democratic",24000,"Residential",16437,0,10571
"md",0,NA,0,"Democratic","Likely African-American","Likely Af-Am (Modeled)","Democratic",70285,"Apartment",264880,0,138063
"tx",1,83,0,"Republican","European","German","Republican",250000,"Residential",1421772,1,373304
